,HR,LF,HF,LF/HF,LF+HF,ccvTP,judgement,0,1,2,3,4,5,6,7,8
2016/10/01 00:44:36,70.01,250.0,315.3,0.81,565.3,2.6932,1.0,36.93,36.97,入浴後,最適,不安…,眠い…,,,
2016/10/01 00:47:40,77.66,1282.12,92.43,21.1,1374.55,4.4102,2.0,36.97,入浴後,最適,不安…,眠い…,,,,
2016/10/01 00:50:23,72.08,363.21,328.17,1.11,691.38,3.1031,0.0,36.97,入浴後,最適,不安…,眠い…,,,,
2016/10/01 00:53:05,69.94,467.66,325.62,1.48,793.28,3.2942,0.0,36.97,入浴後,最適,不安…,眠い…,,,,
2016/10/01 09:15:07,68.62,299.33,138.76,2.14,438.09,2.378,1.0,食事前,最適,疲れたぁ,眠い…,,,,,
2016/10/01 09:18:15,67.2,310.45,158.3,2.0,468.75,2.4255,1.0,36.80,食事前,最適,疲れたぁ,眠い…,,,,
2016/10/01 13:08:22,77.69,717.7,114.65,7.11,832.36,3.6354,2.0,36.63,,,,,,,,
2016/10/01 13:22:11,83.81,150.85,32.74,5.17,183.59,1.8402,2.0,36.63,食事前,暑い…,リラックス,普通,,,,
2016/10/01 16:30:58,84.15,258.98,48.67,6.08,307.65,2.3495,2.0,食事後,37.18,暑い…,疲れたぁ,普通,,,,
2016/10/01 16:39:49,83.34,227.85,74.12,3.93,301.96,2.3406,1.0,37.18,食事後,最適,歩行後,暑い…,疲れたぁ,普通,,
2016/10/01 16:42:35,83.51,199.28,40.05,5.08,239.33,2.1198,2.0,37.18,食事後,暑い…,疲れたぁ,普通,,,,
2016/10/01 18:57:32,76.2,246.2,43.25,5.31,289.45,2.0508,2.0,37.11,食事前,暑い…,不安…,眠い…,,,,
2016/10/01 19:01:00,74.06,335.32,112.2,3.1,447.52,2.6052,1.0,37.11,食事前,暑い…,不安…,眠い…,,,,
2016/10/01 19:04:57,71.05,554.63,173.52,3.1,728.15,3.0915,1.0,37.11,食事前,歩行後,暑い…,不安…,眠い…,,,
